序號	Band	BW	ARFCN	測試類型	iPerf方向	測試秒數	設定開始時間	設定完成時間	UE連線狀態	PHY DL Mbps	PHY UL Mbps	iPerf平均 Mbps	iPerf最低 Mbps	iPerf最高 Mbps	傳輸量 MB	Download 平均 Mbps	Download 最低 Mbps	Download 最高 Mbps	Download 傳輸量 MB	Upload 平均 Mbps	Upload 最低 Mbps	Upload 最高 Mbps	Upload 傳輸量 MB	結果	錯誤原因
72	1A-3A	20+20	300+1575	PHY			2026-08-05T18:15:50+08:00	2026-08-05T18:21:28+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
73	n78C	100+100	623334+630000	PHY+iPerf	upload	30	2026-08-05T18:22:01+08:00	2026-08-05T18:27:43+08:00	未連線	0.0	0.0													FAIL	SA config 已套用，但 UE 尚未連線。
74	1A_n78A	20_100	623334+300	PHY+iPerf	download	30	2026-08-05T18:28:13+08:00	2026-08-05T18:33:58+08:00	未連線	0.0	0.0													FAIL	ENDC config 已套用，但 UE 尚未連線。
75	3A	20	1575	PHY			2026-08-05T18:34:32+08:00	2026-08-05T18:40:12+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
76	5A	10	2525	PHY+iPerf	bidirectional	30	2026-08-05T18:40:47+08:00	2026-08-05T18:46:46+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
77	1A-3A	20+20	300+1575	PHY			2026-08-05T18:47:16+08:00	2026-08-05T18:52:58+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
78	n78C	100+100	623334+630000	PHY+iPerf	upload	30	2026-08-05T18:53:30+08:00	2026-08-05T18:59:14+08:00	未連線	0.0	0.0													FAIL	SA config 已套用，但 UE 尚未連線。
79	1A_n78A	20_100	623334+300	PHY+iPerf	download	30	2026-08-05T18:59:48+08:00	2026-08-05T19:05:32+08:00	未連線	0.0	0.0													FAIL	ENDC config 已套用，但 UE 尚未連線。
80	3A	20	1575	PHY			2026-08-05T19:06:03+08:00	2026-08-05T19:11:46+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
81	5A	10	2525	PHY+iPerf	bidirectional	30	2026-08-05T19:12:16+08:00	2026-08-05T19:18:03+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
82	1A-3A	20+20	300+1575	PHY			2026-08-05T19:18:39+08:00	2026-08-05T19:24:45+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
83	n78C	100+100	623334+630000	PHY+iPerf	upload	30	2026-08-05T19:25:19+08:00	2026-08-05T19:31:05+08:00	未連線	0.0	0.0													FAIL	SA config 已套用，但 UE 尚未連線。
84	1A_n78A	20_100	623334+300	PHY+iPerf	download	30	2026-08-05T19:31:39+08:00	2026-08-05T19:37:29+08:00	未連線	0.0	0.0													FAIL	ENDC config 已套用，但 UE 尚未連線。
85	3A	20	1575	PHY			2026-08-05T19:38:04+08:00	2026-08-05T19:43:50+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
86	5A	10	2525	PHY+iPerf	bidirectional	30	2026-08-05T19:44:24+08:00	2026-08-05T19:50:06+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
87	1A-3A	20+20	300+1575	PHY			2026-08-05T19:50:44+08:00	2026-08-05T19:56:38+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
88	n78C	100+100	623334+630000	PHY+iPerf	upload	30	2026-08-05T19:57:12+08:00	2026-08-05T20:03:03+08:00	未連線	0.0	0.0													FAIL	SA config 已套用，但 UE 尚未連線。
89	1A_n78A	20_100	623334+300	PHY+iPerf	download	30	2026-08-05T20:03:38+08:00	2026-08-05T20:06:37+08:00	已連線	0.0	0.196													FAIL	FAIL｜iPerf 測試失敗  iPerf Server 192.168.3.2:5201 未 Listen，且自動啟動尚未設定。
90	3A	20	1575	PHY			2026-08-05T20:07:12+08:00	2026-08-05T20:08:32+08:00	已連線	13.517	58.189													PASS	
91	5A	10	2525	PHY+iPerf	bidirectional	30	2026-08-05T20:09:05+08:00	2026-08-05T20:14:54+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
92	1A-3A	20+20	300+1575	PHY			2026-08-05T20:15:29+08:00	2026-08-05T20:21:12+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
93	n78C	100+100	623334+630000	PHY+iPerf	upload	30	2026-08-05T20:21:47+08:00	2026-08-05T20:27:34+08:00	未連線	0.0	0.0													FAIL	SA config 已套用，但 UE 尚未連線。
94	1A_n78A	20_100	623334+300	PHY+iPerf	download	30	2026-08-05T20:28:07+08:00	2026-08-05T20:31:30+08:00	已連線	0.354	9.951													FAIL	FAIL｜iPerf 測試失敗  UE 192.168.3.2 無法從 iPerf Executor Ping 通，停止測試。
95	3A	20	1575	PHY			2026-08-05T20:32:04+08:00	2026-08-05T20:33:59+08:00	已連線	13.745	58.456													PASS	
96	5A	10	2525	PHY+iPerf	bidirectional	30	2026-08-05T20:34:38+08:00	2026-08-05T20:40:30+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
97	1A-3A	20+20	300+1575	PHY			2026-08-05T20:41:05+08:00	2026-08-05T20:47:07+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
98	n78C	100+100	623334+630000	PHY+iPerf	upload	30	2026-08-05T20:47:44+08:00	2026-08-05T20:53:33+08:00	未連線	0.0	0.0													FAIL	SA config 已套用，但 UE 尚未連線。
99	1A_n78A	20_100	623334+300	PHY+iPerf	download	30	2026-08-05T20:54:05+08:00	2026-08-05T20:59:52+08:00	未連線	0.0	0.0													FAIL	ENDC config 已套用，但 UE 尚未連線。
100	3A	20	1575	PHY			2026-08-05T21:00:26+08:00	2026-08-05T21:06:11+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
